,year,otrasl,TR,TR10,TR50,TR100,TR10%,CR(10),CR(50),CR(100),CR10%,IHH,MA,real_prices,real_gdp_change,market_type,type_1,type_2,type_3,type_4
11,2014,ПИЩЕВАЯ,4157522698000.0,733637927000,1586095583000,2001297529000,3211155171000,0.17646035398746499,0.38150016204674,0.48136779384577705,0.7723722524821679,49.7538770414996,17067.5,15876.74649302326,408.890697674433,0,0,0,0,0
12,2015,ПИЩЕВАЯ,5002753088085.0,853474013000,1890365969000,2384661371000,3877422674085,0.17060086675728794,0.37786513460003895,0.476669811404349,0.7750577743522491,47.91817352910601,8014.86,6903.41457364341,-1971.47286821707,0,0,0,0,0
13,2016,ПИЩЕВАЯ,5473717474158.0,950703586000,2088005872000,2614305081000,4241302085158,0.17368517657120094,0.3814602930928929,0.47761052581584795,0.774848556795567,49.362700284058,49045.37,41093.459147320325,497.07216038770304,0,0,0,0,0
14,2017,ПИЩЕВАЯ,5200591740324.0,846598760000,1887746184000,2383725994000,3993379028324,0.16278892908199302,0.36298680578268105,0.458356685743514,0.7678701247322309,44.3890905858066,23090.64,18373.093473679302,1216.0974474312,0,0,0,0,0
15,2013,СМИ,286136410808.0,138244655000,218638381000,242621038000,243667885000,0.48314247952443706,0.7641054152549229,0.847920882612877,0.8515794418191099,381.05941751061897,5087.63032,5087.63032,1289.14939999999,2,0,1,0,0
16,2014,СМИ,294013250799.0,140870401000,223710525000,248340528000,249536249000,0.479129429089252,0.76088585936876,0.844657604121986,0.848724499055295,364.525354748631,28891.6602,26875.962976744195,408.890697674433,2,0,1,0,0
17,2015,СМИ,286009211000.0,133849957000,216282580000,241399185000,242806863000,0.46799177037693396,0.7562084425315941,0.8440259114591941,0.848947703995449,321.11892041915,33173.54044,28573.247579672694,-1971.47286821707,2,0,1,0,0
18,2016,СМИ,289701820904.0,133141732000,218734661000,244368810000,245712005000,0.4595819646025621,0.75503378031056,0.8435183777494369,0.8481548518862191,318.423478143431,16698.7482499999,13991.316564279416,497.07216038770304,2,0,1,0,0
19,2017,СМИ,306291164000.0,143595251000,234680790000,261686998000,263018335000,0.468819436789238,0.7662016329011702,0.8543733178016201,0.8587199564137601,343.165876532074,32168.434589999997,25596.242839001163,1216.0974474312,2,0,1,0,0
20,2013,МАШИНОСТРОЕНИЕ,4043144875726.0,1140093262000,2191271035000,2628018525000,3498066158000,0.281981798091091,0.541971930849133,0.6499936573576539,0.86518447038628,119.569618758862,30922.23001000001,30922.230010000007,1289.14939999999,1,1,0,0,0
21,2014,МАШИНОСТРОЕНИЕ,4193063866165.0,1168889592000,2239981084000,2704132137000,3610982831400,0.278767419077991,0.534211057950973,0.6449060217804921,0.861180021734948,117.11956218419999,48730.74486,45330.9254511628,408.890697674433,1,1,0,0,0
22,2015,МАШИНОСТРОЕНИЕ,4150595124829.0,1031173115000,2117357315000,2568724881000,3522609606919,0.248439822239343,0.510133426971447,0.618881101082059,0.848699885432484,93.8776559030716,13179.23107,11351.620215331612,-1971.47286821707,0,0,0,0,0
23,2016,МАШИНОСТРОЕНИЕ,4697840060600.0,1184528665000,2430407023000,2932360749000,4006946268432,0.25214325088128103,0.517345629406037,0.624193397641018,0.8529337348109379,96.3926193065545,19155.4520199999,16049.705590578362,497.07216038770304,0,0,0,0,0
24,2017,МАШИНОСТРОЕНИЕ,5421781254510.0,1446254191000,2877392173000,3461918663000,4676447473510,0.266748900981013,0.5307097497905321,0.638520534210094,0.8625297211354649,105.211452852158,7229.21769,5752.247937696214,1216.0974474312,1,1,0,0,0
