,year,format,otrasl,value
204,2015,Трансграничная(out-in),ТОРГОВЛЯ,1378.9740283333333
205,2015,Трансграничная(out-in),ТранСПОРТ,6992.407449999999
206,2015,Трансграничная(out-in),УСЛУГИ,2370.936638333333
207,2015,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,4822.950516
208,2015,Трансграничная(out-in),НЕФТЕХИМ,1217.4834866666667
209,2016,Внутренняя,IT,1908.502672608696
210,2016,Внутренняя,ДОБЫЧА,19399.773756000002
211,2016,Внутренняя,ЛЕСНАЯ,991.4644333333334
212,2016,Внутренняя,МАШИНОСТРОЕНИЕ,3125.752894
213,2016,Внутренняя,МЕТАЛЛУРГИЯ,842.9095800000001
214,2016,Внутренняя,ПИЩЕВАЯ,2641.792118947368
215,2016,Внутренняя,СМИ,1729.3745314285713
216,2016,Внутренняя,СВЯЗЬ,1148.9522907692308
217,2016,Внутренняя,СЕЛЬХОЗ,1485.0772702500003
218,2016,Внутренняя,СПОРТ,1887.87561
219,2016,Внутренняя,Страхование,1403.2392433333334
220,2016,Внутренняя,СТРОИТЕЛЬСТВО,11029.689371500006
221,2016,Внутренняя,ТЭК,4785.67721875
222,2016,Внутренняя,ТОРГОВЛЯ,3181.2965948076912
223,2016,Внутренняя,ТранСПОРТ,3904.954297222223
224,2016,Внутренняя,УСЛУГИ,1042.7871575862068
225,2016,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,1858.372755483871
226,2016,Внутренняя,НЕФТЕХИМ,2562.007922
227,2016,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,3400.7047525000003
228,2016,Трансграничная(in-out),IT,19883.28102272727
229,2016,Трансграничная(in-out),ДОБЫЧА,4906.860000000001
230,2016,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,597.0475
231,2016,Трансграничная(in-out),ПИЩЕВАЯ,277.19116
232,2016,Трансграничная(in-out),Прочие производства,7181.575793333333
233,2016,Трансграничная(in-out),СВЯЗЬ,20584.718399999998
234,2016,Трансграничная(in-out),СТРОИТЕЛЬСТВО,440.59488
235,2016,Трансграничная(in-out),ТОРГОВЛЯ,762.11109
236,2016,Трансграничная(in-out),ТранСПОРТ,10105.296
237,2016,Трансграничная(in-out),УСЛУГИ,1649.9560166666668
238,2016,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,5928.334931428572
239,2016,Трансграничная(in-out),НЕФТЕХИМ,20115.359999999997
240,2016,Трансграничная(out-in),IT,7477.534576666668
241,2016,Трансграничная(out-in),ДОБЫЧА,6482.097720000001
242,2016,Трансграничная(out-in),ЛЕСНАЯ,2824.37613
243,2016,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,878.9422500000001
244,2016,Трансграничная(out-in),МЕТАЛЛУРГИЯ,20048.3088
245,2016,Трансграничная(out-in),ПИЩЕВАЯ,359.24276000000003
246,2016,Трансграничная(out-in),Прочие производства,660.8249999999999
247,2016,Трансграничная(out-in),СМИ,500.8462025
248,2016,Трансграничная(out-in),СВЯЗЬ,4579.338473333332
249,2016,Трансграничная(out-in),СТРОИТЕЛЬСТВО,2067.445568333333
250,2016,Трансграничная(out-in),ТЭК,3381.7214700000004
251,2016,Трансграничная(out-in),ТОРГОВЛЯ,7713.614776666667
252,2016,Трансграничная(out-in),ТранСПОРТ,754.19224
253,2016,Трансграничная(out-in),УСЛУГИ,3643.5799024999997
254,2016,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,4815.541323333334
255,2016,Трансграничная(out-in),НЕФТЕХИМ,11269.085055000001
256,2016,Трансграничная(out-in),ЭЛЕКТРОЭНЕРГЕТИКА,966.09674
257,2017,Внутренняя,IT,1415.1521328000003
258,2017,Внутренняя,ДОБЫЧА,8907.7082
259,2017,Внутренняя,ЛЕГКАЯ,150.63646
260,2017,Внутренняя,ЛЕСНАЯ,354.3313615
261,2017,Внутренняя,МАШИНОСТРОЕНИЕ,1052.7365871428572
262,2017,Внутренняя,МЕТАЛЛУРГИЯ,2025.1100166666668
263,2017,Внутренняя,ПИЩЕВАЯ,845.530772173913
264,2017,Внутренняя,СМИ,3233.065847
265,2017,Внутренняя,СВЯЗЬ,626.7562830769232
266,2017,Внутренняя,СЕЛЬХОЗ,2873.9718802325574
267,2017,Внутренняя,СПОРТ,3073.907
268,2017,Внутренняя,Страхование,24160.3273325
269,2017,Внутренняя,СТРОИТЕЛЬСТВО,2597.8198471949368
270,2017,Внутренняя,ТЭК,8274.456021875001
271,2017,Внутренняя,ТОРГОВЛЯ,1780.2231291228065
272,2017,Внутренняя,ТОРГОВЛЯ,2001.29319
273,2017,Внутренняя,ТранСПОРТ,8754.831845769233
274,2017,Внутренняя,УСЛУГИ,2134.3629978292684
275,2017,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,34510.07238571429
276,2017,Внутренняя,НЕФТЕХИМ,5608.401803333334
277,2017,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,4373.588036
278,2017,Трансграничная(in-out),IT,650.0200940000001
279,2017,Трансграничная(in-out),ДОБЫЧА,395.87285
280,2017,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,81.69903333333333
281,2017,Трансграничная(in-out),ПИЩЕВАЯ,591.25
282,2017,Трансграничная(in-out),Прочие производства,620.5584
283,2017,Трансграничная(in-out),СЕЛЬХОЗ,163.71248
284,2017,Трансграничная(in-out),СТРОИТЕЛЬСТВО,1003.2949199999999
285,2017,Трансграничная(in-out),ТЭК,163615.07882750002
286,2017,Трансграничная(in-out),ТОРГОВЛЯ,1521.5193499999998
287,2017,Трансграничная(in-out),ТранСПОРТ,5252.625000000001
288,2017,Трансграничная(in-out),УСЛУГИ,98477.98398866666
289,2017,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,2293.8693000000003
