year,format,otrasl,value_in,merge_index
2018,Внутренняя,МАШИНОСТРОЕНИЕ,2634.4528645454543,2018МАШИНОСТРОЕНИЕ
2018,Внутренняя,МЕТАЛЛУРГИЯ,2593.9389575,2018МЕТАЛЛУРГИЯ
2018,Внутренняя,НЕФТЕХИМ,4998.32414,2018НЕФТЕХИМ
2018,Внутренняя,ПИЩЕВАЯ,777.5811460000001,2018ПИЩЕВАЯ
2018,Внутренняя,Прочие производства,125.1874,2018Прочие производства
2018,Внутренняя,СВЯЗЬ,693.4006442857143,2018СВЯЗЬ
2018,Внутренняя,СЕЛЬХОЗ,2636.4550606666667,2018СЕЛЬХОЗ
2018,Внутренняя,СМИ,5688.377422500002,2018СМИ
2018,Внутренняя,СПОРТ,159.78238000000002,2018СПОРТ
2018,Внутренняя,СТРОИТЕЛЬСТВО,6083.030435119048,2018СТРОИТЕЛЬСТВО
2018,Внутренняя,Страхование,1906.33387,2018Страхование
2018,Внутренняя,ТОРГОВЛЯ,7906.697834399999,2018ТОРГОВЛЯ
2018,Внутренняя,ТЭК,5691.498893,2018ТЭК
2018,Внутренняя,ТранСПОРТ,16881.626720714285,2018ТранСПОРТ
2018,Внутренняя,УСЛУГИ,646.244378275862,2018УСЛУГИ
2018,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,17214.271529999998,2018ФИНАНСОВЫЕ ИНСТИТУТЫ
2018,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,5851.7813799999985,2018ЭЛЕКТРОЭНЕРГЕТИКА
