year,otrasl,IHH,MA,real_prices,real_gdp_change,market_type,type_1,type_2,type_3,type_4,value_inout,value_in,value_outin
2013,ТЭК,590.849625827147,2229095.57725,2229095.57725,1289.14939999999,3,0,0,1,0,2298.0153720000008,64763.22739714286,2494.564825000001
2013,УСЛУГИ,364.92460687477404,69472.05352,69472.05352000003,1289.14939999999,2,0,1,0,0,9543.471804,435.0737826530613,1145.017
2013,ФИНАНСОВЫЕ ИНСТИТУТЫ,3849.3854211020393,103958.51754,103958.51754000002,1289.14939999999,4,0,0,0,1,2050.732052,2624.233669130435,481.0476099999999
2013,ЭЛЕКТРОЭНЕРГЕТИКА,153.02907401442698,117993.851719999,117993.85172,1289.14939999999,1,1,0,0,0,2220.1297,9688.434474166666,1097.9583166666666
2014,IT,91.33739283222671,51898.21,48277.40939534883,408.890697674433,0,0,0,0,0,2557.591667142857,1624.2653252380953,552.1728
2014,ДОБЫЧА,1112.47280379388,8834.03,8217.708986046511,408.890697674433,4,0,0,0,1,10987.84239,1143.6993371428573,708.1347812500003
2014,ЛЕГКАЯ,198.02961092423803,265.3476,246.8349767441861,408.890697674433,1,1,0,0,0,3161.0475,132.6738,
2014,ЛЕСНАЯ,103.380199026418,30328.376369999904,28212.443134883724,408.890697674433,1,1,0,0,0,,2127.36879,4267.8181125
2014,МАШИНОСТРОЕНИЕ,117.1195621842,48730.74486,45330.9254511628,408.890697674433,1,1,0,0,0,642.9883024999998,1020.7181076470587,4773.827085
2014,МЕТАЛЛУРГИЯ,382.00268835184,33244.11574,30924.758827906982,408.890697674433,2,0,1,0,0,4950.486056666667,3668.687734000001,41682.40992000001
2014,НЕФТЕХИМ,346.12609127551804,46032.05192,42820.513413953486,408.890697674433,2,0,1,0,0,7572.594333333332,4227.6268625,8557.862009999999
2014,ПИЩЕВАЯ,49.75387704149961,17067.5,15876.74649302326,408.890697674433,0,0,0,0,0,1174.02006,566.7470144444445,2004.2096800000002
2014,СВЯЗЬ,1320.57695645378,15412.25657,14336.982855813954,408.890697674433,4,0,0,0,1,,3518.9037705882347,49670.47570000001
2014,СЕЛЬХОЗ,17.360621628995098,55169.14079,51320.130967441866,408.890697674433,0,0,0,0,0,,1558.8489641666665,152.93803999999997
2014,СМИ,364.525354748631,28891.6602,26875.962976744195,408.890697674433,2,0,1,0,0,,2407.638350000001,
2014,СПОРТ,288.0052365044781,3753.93656,3261.116093023257,408.890697674433,2,0,1,0,0,2327.716715,,3704.4696700000004
2014,СТРОИТЕЛЬСТВО,42.64799439791921,166421.93253,154811.10002790706,408.890697674433,0,0,0,0,0,3580.921906666667,2576.529332307692,2864.582634
2014,ТОРГОВЛЯ,163.96318164316202,64556.57474999991,60052.6276744186,408.890697674433,1,1,0,0,0,1085.2466,1478.2372162222214,2355.7300355555562
2014,ТЭК,675.27380422193,628654.782709999,584795.1467069767,408.890697674433,3,0,0,1,0,133658.52860333337,16341.693241666668,17396.647875000002
