Показатель,Тип,Пол,Возраст,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019
 Объем транзакций cash,Кредитные карты,1,55-59,2581752047.62755,2593059788.10286,2424916487.34079,2604259552.76328,2024606810.24524,2141647006.46173,2389719494.9958,2565284127.03223,2451279570.22716,2436423388.42367,2561121652.44299,2513329024.15218,2241855059.66005
 Объем транзакций cash,Кредитные карты,1,60-69,2111459827.0542,2163336087.07156,2015067351.91013,2190144110.81697,1671538457.33706,1752354865.93436,1974710859.1773,2172583066.63648,2052434525.85406,2057727741.53891,2182802218.49903,2142211316.43325,1934177775.2992
 Объем транзакций cash,Кредитные карты,1,От 70,181443499.059353,202310001.489095,176769328.239852,205080155.538286,149988586.393809,150179738.932906,168433090.110262,176537635.137746,178977822.28247,184531173.93208,199640428.381327,193260891.238394,190142183.826592
 Объем транзакций pos,Кредитные карты,0,0-13,233758.362063645,366764.62581859,217940.644949197,549455.499338514,335017.296202223,191392.777916764,185808.18191894,265805.437937987,155573.580883399,1530469.60966147,697927.183308907,779213.627016859,636939.188389189
 Объем транзакций pos,Кредитные карты,0,14-21,184610710.918586,210669623.766349,222799073.152378,269681790.085139,224061987.418918,233320023.99379,257394845.196604,277652841.858716,303351950.253327,329940209.936516,335800550.45026,330198531.673802,337092754.911247
 Объем транзакций pos,Кредитные карты,0,22-29,9468574034.31248,10483964983.1801,10574018151.6984,11717728035.1225,10187636686.9849,10054884854.3976,11358060928.9166,12138759579.7999,12193158406.8933,12273686495.3714,12822912332.6246,12492675892.878,12346257922.2394
 Объем транзакций pos,Кредитные карты,0,30-39,33297231441.7501,36339585185.2842,36448840501.1285,40053290417.1828,34487058958.6408,34075276824.2242,39118590747.5603,41842932036.491,42083847852.3098,41638080297.0774,43541495608.2062,44576393741.3434,43240381990.3767
 Объем транзакций pos,Кредитные карты,0,40-54,38192478274.7985,41762468263.776,42251360449.7779,46108864889.8454,38695701744.9,38347255206.1032,44414374534.8351,47485564514.3395,48033165684.4224,48177265671.2415,50429853658.44,51708371934.6636,49964329943.3326
 Объем транзакций pos,Кредитные карты,0,55-59,8529771449.24874,9377233169.44465,9346410278.9549,10422499278.0982,8401750432.66143,8365601823.34302,9743191314.39438,10545884400.8243,10466546529.0303,10442215996.8088,10877227754.635,10964255156.2841,10810032536.6427
 Объем транзакций pos,Кредитные карты,0,60-69,7624764719.87328,8464152305.02999,8425879940.08343,9666034174.41185,7759031290.07071,7781465359.49018,9198263038.40283,10080430092.2992,9986779573.3101,10028215882.7461,10581222958.6585,10728356268.12,10633466150.9071
