Показатель,Тип,Пол,Возраст,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019
 Объем транзакций cash,Дебетовые карты,1,55-59,114576176050.992,121967726251.196,115877611831.96,143554142901.538,89658502248.1657,102790827619.362,112010274666.142,119043417823.26,111995791167.637,118621993021.1,125435262572.918,123520147199.7,116317660920.057
 Объем транзакций cash,Дебетовые карты,1,60-69,136798660244.613,147436894738.519,140987152498.629,177635116923.357,109944497426.75,130490583124.537,142541211397.226,152256908701.696,139889415750.353,148602501228.409,156015669283.374,154149881728.007,145832055186.894
 Объем транзакций cash,Дебетовые карты,1,От 70,30659150564.3516,34068580437.243,32890703552.5803,42149370009.8472,26364748461.506,32264868930.0544,35222431799.8757,38003619134.766,34172975351.5369,36809452507.265,39144637100.7692,38022432246.0796,36443304839.3582
 Объем транзакций pos,Дебетовые карты,0,0-13,18339899.0135756,17486576.2334035,15937138.6096919,18391540.437531,11244341.8946856,13077294.762969,15096111.8227513,13812733.8255975,13768837.5461769,20881780.8400585,19567259.7483343,16229402.2998143,14895372.120457
 Объем транзакций pos,Дебетовые карты,0,14-21,32876957708.7787,36221656754.6628,35687883917.9633,40725102751.6589,33060568344.8168,33260143987.8669,38327134401.422,38720848223.2479,38510233409.8943,41281979726.8915,42024952595.1582,41774287167.4271,45566492139.9706
 Объем транзакций pos,Дебетовые карты,0,22-29,112026728254.656,123222915885.98,120827338444.451,140459489705.95,114345638467.325,112735588057.278,126664005702.191,129920499914.858,129505435793.568,135516772640.78,143238492697.229,136169867998.101,135055362402.527
 Объем транзакций pos,Дебетовые карты,0,30-39,213011394123.569,234021831727.65,230435785758.715,270715992869.945,217927591245.173,216116443144.377,246125010804.171,253699571113.495,257669695969.939,267859618684.255,286019175858.717,282410489923.61,270866978299.485
 Объем транзакций pos,Дебетовые карты,0,40-54,199658454408.475,221516220398.64,220113818725.145,261128452844.075,207301226250.311,205750741034.435,234812730930.438,241502527278.451,247105712517.007,260011475529.147,280625752395.907,270630721596.063,255669532003.189
 Объем транзакций pos,Дебетовые карты,0,55-59,58248889294.0871,64973848979.9165,64478343657.9518,76117808705.9459,58738828788.3345,59151577735.5236,67477014698.1583,69363276110.5038,69478600945.0223,71431202613.4724,75899569853.9855,72008649119.483,69796846958.6269
 Объем транзакций pos,Дебетовые карты,0,60-69,57474633265.6363,65235056203.1923,65353841284.1186,77436054974.6496,60026659097.6064,61881426060.7747,71271826407.4768,74197296059.2589,74057700737.9327,75923108432.8134,81313354428.293,78373874930.4489,77362940758.2634
 Объем транзакций pos,Дебетовые карты,0,От 70,12900400848.3462,14925494699.192,15005180256.2242,17593176833.1112,14093073845.7461,14696061826.9443,17139257559.0337,18169402435.8014,17925151018.9577,18103079023.429,19532795827.3972,19151909655.9113,19338368472.1167
 Объем транзакций pos,Дебетовые карты,1,0-13,41528045.6171674,45740543.0493504,43325021.4464592,50960104.8745801,34568621.8366331,32913174.5514656,41819149.2904677,36952172.5335609,38408162.7113501,42736053.9106267,37206897.0564832,36554061.8360987,42290599.634268
 Объем транзакций pos,Дебетовые карты,1,14-21,32945250315.7718,37229634134.6766,36363957084.9931,40706800213.2946,35236188127.0833,34044246302.5065,39150743538.9604,39985693783.8541,40020929032.3478,42279350747.6086,43390036030.9487,43294467062.5834,47528071932.5667
 Объем транзакций pos,Дебетовые карты,1,22-29,129053023221.626,142982630725.915,137923549306.382,157633151276.975,135401687263.247,126570623263.104,143574232529.87,147243449032.42,148795915455.337,154835925655.951,165009743229.167,157221476420.768,157731890772.643
 Объем транзакций pos,Дебетовые карты,1,30-39,237123396438.69,261520480615.568,253638327669.701,292467361321.795,248675194272.382,231803173359.809,267300121973.045,275588903595.894,280750247025.112,293190292822.621,317154369957.066,307126751468.28,301334584060.49
 Объем транзакций pos,Дебетовые карты,1,40-54,201143760703.122,221213759091.349,216183667233.042,249676809620.661,208830049580.773,195320801234.187,227461901569.778,233523594260.094,239615261830.585,249960963082.734,273193420031.157,266253065809.356,255285142992.893
 Объем транзакций pos,Дебетовые карты,1,55-59,44034738949.5744,47988985114.4668,46867284052.6404,54054483795.5251,44082179355.1467,42143020547.9316,49383868767.0917,51003969182.8071,52151913714.4359,53656072308.3594,57814811282.1461,55685551726.8739,54201190454.7931
 Объем транзакций pos,Дебетовые карты,1,60-69,47064780343.3514,52062458836.6947,51027514231.477,59146852481.6356,47632041529.5213,46732666350.1346,55414793315.0843,57966583749.9139,58577173066.5616,60184064090.7544,64726155493.1251,62455772312.9223,61331395368.6899
 Объем транзакций pos,Дебетовые карты,1,От 70,9197293473.86214,10378200039.7918,10238162991.8856,11783884199.6312,9692913654.81742,9819142440.54675,11513967075.4646,12371277133.1197,12407858133.3292,12596188816.768,13678165335.3039,13245212518.7307,13256705940.522
 Объем транзакций cash+pos,Дебетовые карты,0,0-13,52037418.1942977,49704212.5999391,45312072.0804053,49720459.3368645,33345519.5440924,36436806.9604903,39418255.476056,36308050.6415167,35767785.1080314,58099658.8671651,50544427.0934428,48658308.5818603,44048368.6491899
 Объем транзакций cash+pos,Дебетовые карты,0,14-21,60539606124.5754,65060505002.4798,62654552309.7074,71716801980.8487,54621903823.4853,57624846126.0802,64320022778.3218,66119908002.4459,64301652004.3542,69795358450.7853,71356489313.186,71286224296.3175,75046764061.0719
 Объем транзакций cash+pos,Дебетовые карты,0,22-29,224514232022.061,241035769841.994,230308687754.955,268314505041.819,199523145262.387,208005582310.813,229466437795.938,239449960280.635,233801508545.588,247674752022.731,261367752938.625,249585546457.665,241779411802.423
 Объем транзакций cash+pos,Дебетовые карты,0,30-39,460686309896.723,496744058088.204,477437902763.09,567762499969.029,408745165797.981,435029513665.62,484872642680.639,511999347259.894,505727270240.134,537291932612.622,568654407736.198,552410932391.369,524773587529.121
 Объем транзакций cash+pos,Дебетовые карты,0,40-54,505860840237.257,548595356329.266,529748183311.026,649737273672.212,443933735164.511,483911414569.091,535402683694.086,564714503723.306,556734918294.37,605247482528,639574603561.08,608613835370.693,572303098903.955
 Объем транзакций cash+pos,Дебетовые карты,0,55-59,176397213722.5,190605440980.588,182831249589.515,222122181300.147,147879337771.56,163380278222.312,179405118662.431,189025534111.517,182814066989.538,194936126326.928,201944810860.487,191335775258.96,182227302834.413
 Объем транзакций cash+pos,Дебетовые карты,0,60-69,196919667627.848,215611343895.238,209106781329.3,258831107714.082,170794676774.539,195833698605.469,215437070671.156,229682871094.78,220103187803.748,233918798310.673,243867196919.801,234349472731.685,227807786665.847
 Объем транзакций cash+pos,Дебетовые карты,0,От 70,58031162791.2988,64090843189.9568,62530410988.5023,75754271876.4256,53183862780.4855,61693874625.2122,67595762118.9767,72954009508.6032,68403208188.1807,72186849038.8358,75812284829.3422,74427921508.2081,73789155450.0432
 Объем транзакций cash+pos,Дебетовые карты,1,0-13,161487684.709979,164365013.93848,150241364.11136,169658411.388385,118908720.431545,122968575.867669,133039799.390938,126637547.217436,116384037.601191,144840301.503849,133493874.957171,117582631.259397,125748337.678534
 Объем транзакций cash+pos,Дебетовые карты,1,14-21,67633096485.2226,74809097014.0576,72171256001.7098,82592321018.2898,63031248450.2686,65754109767.0029,73135459728.0355,75946767058.8568,74075601352.0614,79106369972.1314,81268528668.9405,82051873018.4227,86150305678.2361
 Объем транзакций cash+pos,Дебетовые карты,1,22-29,297042424348.069,322039537426.908,305703843274.39,352551929263.551,266293005969.042,269749122756.428,298089941751.169,310050109331.894,305005934861.066,320236698631.526,340052133026.144,327949772524.236,322858374043.904
 Объем транзакций cash+pos,Дебетовые карты,1,30-39,610574374965.028,661968266669.224,631718913987.753,740977271816.866,542222380188.867,559258211102.959,625992776267.995,661793952175.07,650570559032.938,687000364081.586,738296609236.54,717087772625.887,696482288579.43
 Объем транзакций cash+pos,Дебетовые карты,1,40-54,607264429156.417,655808198763.95,627825031545.868,748040226169.756,526825116587.886,554410372323.39,619442988500.296,656044124831.772,640444180560.407,679312297225.239,732540425851.301,716563462631.542,685428499805.114
 Объем транзакций cash+pos,Дебетовые карты,1,55-59,158610915000.567,169956711365.663,162744895884.601,197608626697.063,133740681603.312,144933848167.293,161394143433.234,170047387006.067,164147704882.073,172278065329.459,183250073855.064,179205698926.574,170518851374.85
 Объем транзакций cash+pos,Дебетовые карты,1,60-69,183863440587.965,199499353575.213,192014666730.106,236781969404.992,157576538956.271,177223249474.672,197956004712.31,210223492451.61,198466588816.914,208786565319.163,220741824776.499,216605654040.929,207163450555.584
 Объем транзакций cash+pos,Дебетовые карты,1,От 70,39856444038.2137,44446780477.0348,43128866544.4659,53933254209.4784,36057662116.3234,42084011370.6011,46736398875.3404,50374896267.8857,46580833484.8661,49405641324.033,52822802436.073,51267644764.8102,49700010779.8802
 Остатки на конец месяца,Дебетовые карты,0,0-13,22991557.7557302,23234957.4079857,22806246.1933184,24385127.7434988,20713851.8048761,20894528.6809481,26321716.5632048,19725172.2728606,19350155.1374537,29043158.7438941,24394092.1456949,22556769.3083102,21907713.2854414
 Остатки на конец месяца,Дебетовые карты,0,14-21,21931022187.2204,23026231978.7353,21164922213.5373,26581971498.4689,21241506457.667,21784047037.999,20765414852.1245,25499504135.4504,21594797671.0329,23371675010.4806,23258813905.4397,24802888775.507,24518123216.8006
 Остатки на конец месяца,Дебетовые карты,0,22-29,116662585091.525,124251560741.792,111992562296.63,147877289309.28,109466482695.472,115384568548.064,109938563569.705,138677427437.869,116668371862.827,125200295928.125,119480720501.184,116555924522.786,120119910360.503
 Остатки на конец месяца,Дебетовые карты,0,30-39,289436106020.868,312140600706.02,283540412534.249,364735477538.937,278993815938.919,296416254153.003,284040680363.661,356760524059.715,310065772633.63,333903574822.436,326638929865.016,313216157219.011,320088175784.815
 Остатки на конец месяца,Дебетовые карты,0,40-54,455300217521.808,483498774111.23,444417478523.82,551700110124.896,440220821947.616,466077067825.575,452711282453.164,546624305681.931,498122897783.138,545639638050.684,529370926434.094,501249933704.612,507853113639.33
 Остатки на конец месяца,Дебетовые карты,0,55-59,283620687678.601,289935164930.515,270745486998.367,311847373096.609,268065501292.658,278590171016.451,274759497315.744,309754103560.185,288982726520.446,304776743022.135,299040560492.214,292235627176.172,295068510415.749
 Остатки на конец месяца,Дебетовые карты,0,60-69,346915183749.035,354139444156.897,335534693903.515,390929588145.453,338997739850.658,352849711253.749,353731489052.683,398406337233.197,372178085742.579,393870970293.765,394028041588.655,391354840936.792,398936309114.149
 Остатки на конец месяца,Дебетовые карты,0,От 70,126227176357.312,128838585757.829,125079700225.7,143069313989.199,128946468342.151,134057381870.002,135715156990.796,151339312749.593,141854796522.052,148686889024.707,151698488867.144,153212018451.237,157058320691.792
 Остатки на конец месяца,Дебетовые карты,1,0-13,38770980.9190869,40055475.4258778,39116909.4499879,38703292.364996,34473958.4190148,34798682.7347507,33172271.653162,34889400.1473285,33600885.3162258,48079366.1405835,45702851.7380299,42700887.715059,43148150.1722531
 Остатки на конец месяца,Дебетовые карты,1,14-21,21302526197.6607,22885606404.0183,20890220589.0618,25253895304.5661,20095122176.7125,21218501499.0925,19892370705.5329,24729829079.1624,20934836326.8482,22080940682.9136,22313825709.8414,24274577025.8189,24467361571.4448
 Остатки на конец месяца,Дебетовые карты,1,22-29,140830896675.199,151998546284.262,136811918484.492,174309915058.696,130770402691.91,140278953858.814,129750027649.773,162231873084.915,140214687368.087,145193541520.553,142432889408.922,141595329439.822,147720684890.324
 Остатки на конец месяца,Дебетовые карты,1,30-39,356088956727.239,389480083756.279,353666195800.321,440883155023.662,342692785231.45,365510165435.551,344939334111.85,431656548538.182,381728631459.002,394762509528.712,396261696151.685,387872808013.465,402297245244.726
 Остатки на конец месяца,Дебетовые карты,1,40-54,522042321099.055,568948539216.187,515225338141.821,608570427721.427,506198350419.608,530937244974.272,513461388009.613,614173802636.92,571097517802.552,582333762135.165,585059562795.159,578396106220.754,585619736693.026
 Остатки на конец месяца,Дебетовые карты,1,55-59,213960879576.974,224545272634.815,207895175140.915,235539960477.152,206021863595.053,214480320867.299,212573740034.73,240275449601.575,229179115094.049,233825911063.812,231498515893.615,234142222425.102,234340311458.389
 Остатки на конец месяца,Дебетовые карты,1,60-69,353456183586.487,366967037897.957,346117079502.881,390459042941.33,347420398861.915,360278248320.702,361985579260.879,402161524190.211,381616809182.335,391606635139.006,392891394335.243,396747498787.209,403242480247.728
 Остатки на конец месяца,Дебетовые карты,1,От 70,102277727549.501,104831287186.928,101695250546.264,115412334903.6,104994419141.409,107848744014.964,110028314358.336,121849884955.061,116504123147.859,120982689322.212,123152269764.069,125661390312.593,126925533077.993
 Количество транзакций cash,Дебетовые карты,0,0-13,2623.69433728033,2512.54553150066,2404.09201077171,2558.64894087206,1756.90221925924,1826.81246818161,1948.73650013584,2130.34412045006,2032.18734948536,2989.38428988344,2596.0230949883,2208.82925167867,1813.37485502081
 Количество транзакций cash,Дебетовые карты,0,14-21,11454069.5202595,12636932.4739365,11312630.0650573,12059289.1030432,8656653.54175555,9936236.59951085,11294820.3487822,12073148.9733142,11417934.3583858,11752840.6140122,10484338.8102366,10075027.4988062,11416236.7125265
 Количество транзакций cash,Дебетовые карты,0,22-29,22366600.3938181,23387508.0754092,21221735.5274346,22958604.8399263,17270279.4158544,18934278.6648029,20431659.7529443,21886298.6658518,21371694.953394,21891045.0328659,22002061.529358,20741818.2535888,19623390.8893601
 Количество транзакций cash,Дебетовые карты,0,30-39,41021111.5072611,43367940.6399123,39653945.4549319,43651670.0006656,32110505.5539359,35941006.6057162,39150531.1447991,42308147.1932623,41825270.8665707,41984126.1558871,42184252.2433431,40508574.0224278,39595964.1362091
 Количество транзакций cash,Дебетовые карты,0,40-54,45934740.0066866,49293461.3360036,45636035.9314438,51129058.0601441,36814218.5911407,41770437.9006376,45500313.4440564,48686740.2209506,47737868.2941183,49194225.0304983,49547105.0369173,47233693.2925032,45394860.7741106
 Количество транзакций cash,Дебетовые карты,0,55-59,19578826.24034,20813134.6105757,19309831.1946163,21383646.8639101,15442282.9246707,17281889.5239938,18770992.3601521,19947032.5233789,19274812.983087,19628331.7542407,19790143.5931905,19088394.2271883,18035616.4352112
 Количество транзакций cash,Дебетовые карты,0,60-69,25558168.3168028,27563065.405884,25880884.0847655,29181469.0346972,21037859.4310666,24067230.8897657,26435256.564079,28535743.0317059,27321480.8655869,27810705.167251,28477248.469749,28007443.7619934,27112787.3657103
 Количество транзакций cash,Дебетовые карты,0,От 70,7057678.60011087,7712179.25170371,7335789.45144822,8349918.13177809,6261920.93853619,7161550.21761489,7916147.94919934,8622348.66002744,8151493.21817932,8319058.74171068,8654825.8850902,8659961.42933078,8532197.47736921
 Количество транзакций cash,Дебетовые карты,1,0-13,4725.97796059797,4748.14623284317,4164.29594885571,4364.0084554152,3241.68548771846,3364.60684438225,3759.18731025271,3761.02243110786,3663.73829911679,4651.16231251002,4636.93327693394,3830.85173474095,3510.76735890832
 Количество транзакций cash,Дебетовые карты,1,14-21,11715466.3935778,13211644.0126676,12016771.8337935,12927234.2502767,9724203.58026931,10740888.4157198,12416448.3023319,13014806.1707453,12215204.4197639,12530587.2354675,11299033.8801641,10873324.5936839,12212750.1114088
 Количество транзакций cash,Дебетовые карты,1,22-29,24111052.0473726,25605223.9711409,23421184.2219146,24955151.3838219,19881552.95705,20708571.6378172,23005745.9779286,24083006.3427721,23240877.6731705,23704444.4087373,24302859.8215102,23109015.2112303,21805948.6139764
 Количество транзакций cash,Дебетовые карты,1,30-39,38116245.5179893,40533976.9469421,37357333.5030697,40553915.7198228,31452660.7298294,33484881.781518,37420975.6437948,39416831.8868231,38322396.23975,38910318.0940017,40433948.2515148,39088184.2500359,37141151.6497301
 Количество транзакций cash,Дебетовые карты,1,40-54,39859924.3003437,42589470.5864032,39431207.6069658,43822358.8658209,32683925.9301322,35710119.3224242,40051133.0769847,42011111.2020461,40399025.2242689,41139385.3620835,42654614.2542163,41874184.0912563,39737917.3290478
 Количество транзакций cash,Дебетовые карты,1,55-59,13174399.4568837,14059000.4486676,13078514.080927,14745316.3886405,10696561.2961485,11859081.2363556,13298849.290343,13793013.1214006,13120996.1861395,13308431.9290684,13710349.1075189,13500222.2978286,12626497.818685
 Количество транзакций cash,Дебетовые карты,1,60-69,19531518.3874058,21052730.1507772,19833954.2617385,22511107.4616815,16375280.1866731,18405091.9915573,20687131.6479631,21625597.5786307,20271534.7095544,20537996.3084299,21224593.833665,21068822.7839653,20051811.2845495
 Количество транзакций cash,Дебетовые карты,1,От 70,4022130.8149474,4434103.54948205,4223561.01222595,4879205.91005937,3549364.3585925,4102506.38768664,4630110.58599222,4953452.33808099,4592598.38308585,4705339.90834933,4934253.95162658,4919553.59443321,4791880.79468136
 Количество транзакций pos,Дебетовые карты,0,0-13,15714.4314112371,15999.0299580184,13824.4410847032,15695.944104373,12351.2782836281,13091.2471600437,13351.8472810428,14831.2356971553,14577.0013177626,23695.320066895,20845.1311042886,16855.0095111386,15221.3028439717
 Количество транзакций pos,Дебетовые карты,0,14-21,127263909.833201,142229966.094556,134034958.826994,144338482.322972,120398960.382009,130383693.915058,154655453.266668,167155519.490239,168556783.087819,173932352.285856,159886376.626499,150198752.329232,190900561.731169
 Количество транзакций pos,Дебетовые карты,0,22-29,245856524.673483,267481754.674042,253021733.542299,276120241.9567,245401658.394479,248255038.455138,278587099.578966,297036521.547368,303109765.652494,315283379.77016,321826126.910679,299065396.089271,298214747.251788
 Количество транзакций pos,Дебетовые карты,0,30-39,378978232.417569,408987143.814637,388817483.650038,428172538.382297,379596887.041199,384969842.723357,431522340.726449,457350945.070211,472760316.930099,485032591.816108,501775280.852905,474737793.769089,472429984.853496
 Количество транзакций pos,Дебетовые карты,0,40-54,326063001.086179,356422523.109143,342990690.860935,381370865.511588,338643797.650044,341648599.179208,382381629.199415,401336652.648697,415152062.107333,430813387.960948,450567131.415699,418961838.091665,411472555.133637
 Количество транзакций pos,Дебетовые карты,0,55-59,102720188.586818,112906353.293329,109384667.060185,121145187.989323,106419685.730828,107320099.25352,120017468.036762,124774751.192875,126650464.021409,129795972.961851,135683070.718173,126311828.790377,122729617.046533
 Количество транзакций pos,Дебетовые карты,0,60-69,113552623.74861,127006294.204718,124676003.73743,139232720.996361,122904248.157622,125446912.265596,142470475.194394,150113484.458019,151400074.927225,154657748.599277,164061428.478945,156162430.76729,154947989.851894
 Количество транзакций pos,Дебетовые карты,0,От 70,25836780.9885527,29432058.5662991,29170780.0309113,32447060.1834681,29307084.9863469,30121870.8986751,34774680.6344894,37405467.7560774,37463932.1407544,37987395.6386484,40832187.7209763,39800940.4186055,40402251.3494115
 Количество транзакций pos,Дебетовые карты,1,0-13,30718.8567438868,30474.8633501668,27927.9611357555,28621.3766167189,25192.0054183597,23730.3848478715,26689.1381736625,29110.4940015437,26322.3553207203,38694.9098907998,32169.0681191952,27137.0450920522,27416.0186202741
 Количество транзакций pos,Дебетовые карты,1,14-21,119772369.445745,137044972.188237,129528194.681472,138360366.570874,121794974.430853,127803444.000111,150879364.169908,162564885.860889,163789028.646119,170075363.679189,156459223.088835,148998852.432191,187603733.944369
 Количество транзакций pos,Дебетовые карты,1,22-29,252653337.055861,276662187.916922,259332697.604129,278236671.977687,258505705.358501,251309674.304732,284361260.415325,303645590.390405,313448004.854451,328483225.856393,339299016.686354,316151714.494894,316150891.331501
 Количество транзакций pos,Дебетовые карты,1,30-39,345005147.865288,375554168.963359,354937614.519183,382083607.685911,354332547.292072,344611703.544389,389314673.245944,413829975.471854,430564625.987262,451307980.080347,477515609.915263,450973040.446972,444291215.768671
 Количество транзакций pos,Дебетовые карты,1,40-54,264345182.804506,287407437.796431,273869297.137681,297100897.085443,272830180.248637,267049103.355405,301898329.563438,318396850.69643,330959912.533786,346031919.601727,368434757.314879,348387409.190587,342049614.106331
 Количество транзакций pos,Дебетовые карты,1,55-59,62581427.8888508,67970928.6007928,64952902.4696758,71009117.4995991,64742966.302635,63577656.3745431,72216542.8761227,75331273.4164604,77811483.7453968,80631832.4700901,85794411.8508784,80987180.3029614,78795342.2711304
 Количество транзакций pos,Дебетовые карты,1,60-69,76827958.7120915,84330360.3491364,81361664.0320007,89335627.9555559,82135301.1125824,81128767.1600791,93419922.2981549,97669726.3478297,100363098.21722,103285593.660023,110385234.20596,105509997.550219,103333529.473517
 Количество транзакций pos,Дебетовые карты,1,От 70,14624988.099792,16425484.9123418,16123825.5857736,17726481.0228399,16554064.1636504,16578599.4427731,19334557.4943389,20617984.494307,21009443.5088817,21499811.634116,23171286.8810263,22541648.7234547,22548808.2090265
 Количество транзакций cash+pos,Дебетовые карты,0,0-13,18338.1257485175,18511.575489519,16228.5330954749,18254.5930452451,14108.1805028874,14918.0596282253,15300.5837811786,16961.5798176054,16609.1886672479,26684.7043567785,23441.1541992769,19063.8387628173,17034.6776989925
 Количество транзакций cash+pos,Дебетовые карты,0,14-21,138717979.35346,154866898.568492,145347588.892051,156397771.426015,129055613.923764,140319930.514568,165950273.61545,179228668.463554,179974717.446205,185685192.899868,170370715.436736,160273779.828038,202316798.443695
 Количество транзакций cash+pos,Дебетовые карты,0,22-29,268223125.067301,290869262.749451,274243469.069733,299078846.796626,262671937.810333,267189317.119941,299018759.331911,318922820.21322,324481460.605888,337174424.803026,343828188.440037,319807214.34286,317838138.141149
 Количество транзакций cash+pos,Дебетовые карты,0,30-39,419999343.92483,452355084.454549,428471429.10497,471824208.382962,411707392.595135,420910849.329073,470672871.871248,499659092.263474,514585587.79667,527016717.971995,543959533.096249,515246367.791516,512025948.989705
 Количество транзакций cash+pos,Дебетовые карты,0,40-54,371997741.092866,405715984.445147,388626726.792379,432499923.571732,375458016.241185,383419037.079845,427881942.643471,450023392.869648,462889930.401451,480007612.991446,500114236.452616,466195531.384169,456867415.907748
 Количество транзакций cash+pos,Дебетовые карты,0,55-59,122299014.827158,133719487.903905,128694498.254801,142528834.853233,121861968.655499,124601988.777514,138788460.396915,144721783.716253,145925277.004496,149424304.716092,155473214.311364,145400223.017565,140765233.481744
 Количество транзакций cash+pos,Дебетовые карты,0,60-69,139110792.065413,154569359.610602,150556887.822196,168414190.031058,143942107.588688,149514143.155362,168905731.758473,178649227.489725,178721555.792812,182468453.766528,192538676.948694,184169874.529283,182060777.217605
 Количество транзакций cash+pos,Дебетовые карты,0,От 70,32894459.5886636,37144237.8180028,36506569.4823595,40796978.3152462,35569005.9248831,37283421.11629,42690828.5836888,46027816.4161048,45615425.3589337,46306454.3803591,49487013.6060665,48460901.8479363,48934448.8267807
 Количество транзакций cash+pos,Дебетовые карты,1,0-13,35444.8347044848,35223.00958301,32092.2570846112,32985.3850721341,28433.6909060781,27094.9916922538,30448.3254839152,32871.5164326515,29986.0936198371,43346.0722033099,36806.0013961291,30967.8968267932,30926.7859791824
 Количество транзакций cash+pos,Дебетовые карты,1,14-21,131487835.839323,150256616.200904,141544966.515265,151287600.821151,131519178.011122,138544332.415831,163295812.47224,175579692.031634,176004233.065883,182605950.914656,167758256.968999,159872177.025875,199816484.055778
 Количество транзакций cash+pos,Дебетовые карты,1,22-29,276764389.103233,302267411.888063,282753881.826044,303191823.361509,278387258.315551,272018245.94255,307367006.393254,327728596.733177,336688882.527622,352187670.26513,363601876.507864,339260729.706125,337956839.945477
 Количество транзакций cash+pos,Дебетовые карты,1,30-39,383121393.383277,416088145.910301,392294948.022253,422637523.405734,385785208.021902,378096585.325907,426735648.889739,453246807.358678,468887022.227012,490218298.174349,517949558.166778,490061224.697008,481432367.418401
 Количество транзакций cash+pos,Дебетовые карты,1,40-54,304205107.10485,329996908.382834,313300504.744646,340923255.951264,305514106.178769,302759222.677829,341949462.640423,360407961.898476,371358937.758055,387171304.963811,411089371.569095,390261593.281844,381787531.435379
 Количество транзакций cash+pos,Дебетовые карты,1,55-59,75755827.3457345,82029929.0494604,78031416.5506028,85754433.8882395,75439527.5987835,75436737.6108988,85515392.1664657,89124286.5378611,90932479.9315363,93940264.3991585,99504760.9583973,94487402.6007901,91421840.0898154
 Количество транзакций cash+pos,Дебетовые карты,1,60-69,96359477.0994973,105383090.499914,101195618.293739,111846735.417237,98510581.2992555,99533859.1516364,114107053.946118,119295323.92646,120634632.926775,123823589.968453,131609828.039625,126578820.334184,123385340.758067
 Количество транзакций cash+pos,Дебетовые карты,1,От 70,18647118.9147394,20859588.4618238,20347386.5979995,22605686.9328993,20103428.5222429,20681105.8304598,23964668.0803311,25571436.832388,25602041.8919676,26205151.5424653,28105540.8326529,27461202.317888,27340689.0037078
 Активные клиенты,Кредитные карты,0,0-13,38.839850927498,38.760029501037,31.6677951262324,33.2577423504703,27.490557504091,24.6458957905799,26.1892325566353,27.6197741375314,27.5269748681465,119.287789245189,93.1498320383061,56.4820717121703,47.8080336283606
 Активные клиенты,Кредитные карты,0,14-21,35268.0231551655,33343.6742674291,33488.6933459908,35283.5726562533,39291.2410305839,39584.2081568232,40091.3501721159,41454.3736357886,42120.617912717,43649.1477597793,44941.8830262315,46051.7158026561,47115.5415048952
 Активные клиенты,Кредитные карты,0,22-29,1312273.41220939,1318195.58552736,1328505.74945721,1350996.00976081,1386178.08410049,1386843.40299742,1382696.90676167,1403022.01827671,1404811.63542099,1414993.21075557,1422651.18633079,1421688.5031933,1423634.86902678
 Активные клиенты,Кредитные карты,0,30-39,4218091.24448013,4248333.22904731,4285015.42077796,4354861.32665365,4434901.16750445,4442415.46745915,4442994.573489,4502374.9731198,4522676.17568386,4566116.90820614,4582252.73601862,4579702.51069817,4590714.27494482
 Активные клиенты,Кредитные карты,0,40-54,4838483.06037104,4871933.29479295,4911257.58496107,4989627.27308751,5077552.27089192,5071452.66572212,5063254.53753089,5138513.61105542,5169660.05146772,5232908.01023314,5266400.41022071,5290823.37962039,5322610.35921798
 Активные клиенты,Кредитные карты,0,55-59,1464337.18264253,1464676.91479502,1467891.54970532,1485957.37420781,1498231.04335861,1487400.10758156,1477056.71166322,1494372.24072811,1496244.65562776,1506222.18440367,1508692.52181167,1509707.84653635,1514965.59799645
 Активные клиенты,Кредитные карты,0,60-69,1676123.69718519,1696540.84682687,1719726.81155622,1758919.5715549,1788732.44573303,1792664.17284368,1796396.57379992,1829583.26372907,1846244.34592364,1872344.04945077,1888898.11593727,1908155.55252598,1932680.32381864
 Активные клиенты,Кредитные карты,0,От 70,73933.8140099884,78542.1753355828,83038.7166019134,87220.5982973052,93242.1835680862,94093.6808527063,94880.6796379612,97477.4512929636,99793.9766259367,102676.237228228,104917.27566377,107777.930634564,111308.692113158
 Активные клиенты,Кредитные карты,1,0-13,21.5776949597211,21.5333497227983,20.1522332621479,20.2438431698515,17.3624573710048,15.9473443350811,14.5495736425752,10.1757062611958,15.9366696605059,85.8290190910509,61.1295772751384,57.9303299612003,49.2567619201291
 Активные клиенты,Кредитные карты,1,14-21,26481.585767567,24291.0540439647,24487.8423039757,25899.1053582293,31282.8075682079,31448.1630287799,31248.1193121587,32297.6916730355,32441.2642761861,33365.6674893617,34213.6422144447,34420.7538046962,33735.0870021213
 Активные клиенты,Кредитные карты,1,22-29,1183346.68482506,1196489.0928941,1209873.87057864,1240279.53948729,1306660.92308419,1312398.30012411,1311095.54495183,1331542.04280878,1330074.44986582,1337674.35711677,1340558.53044865,1335031.97086259,1326109.37788151
 Активные клиенты,Кредитные карты,1,30-39,3601725.82646869,3641516.25607561,3682799.03697903,3772017.94597286,3904213.31734534,3927003.09758363,3930386.90482852,3990911.99564099,4004854.66113395,4037100.29329906,4044053.38302704,4038161.09667138,4034679.31800944
 Активные клиенты,Кредитные карты,1,40-54,3601315.85026445,3634479.1573862,3669118.5494845,3750170.50122619,3869277.15937198,3876757.36485952,3876824.10442074,3937674.15415474,3960358.03065367,4005928.3573485,4027626.99233354,4044469.70960415,4062899.0964048
