,,,,,,,,,,,,,,,,
Сумма по полю Значения2,,,ММГГ,,,,,,,,,,,,,
Показатель,Пол,Возраст,9 2018,10 2018,11 2018,12 2018,1 2019,2 2019,3 2019,4 2019,5 2019,6 2019,7 2019,8 2019,9 2019,Total Result
,,55-59,5694.13036852211,5853.25203262189,6124.28744020142,5634.41046129978,5603.58344587553,3627.79383834201,2673.87432491544,2916.96376289592,3430.1478565306,3831.38845713606,4042.27324794927,4129.16179257292,4090.56908921864,57651.8361180816
,,60-69,10066.7003936336,9983.48794402703,10131.6824382785,10028.7534242393,9887.98690187715,5850.620819806,3633.3147571762,3770.10662728053,4281.86114009189,4605.83355448637,4572.6476284341,4540.31588287179,4307.55985094063,85660.8713631431
,,Totals,174369326.69614,173862729.46935,174507636.716751,174903847.26373,175077985.949516,174555354.781301,174526814.685099,174491698.23753,175462549.398409,176286446.007029,177963812.194612,179280494.425916,179939411.753353,2285228107.57873
,,От 70,20397.4162094077,20005.2324372869,19907.6093411444,19835.2305987724,19830.2067588936,8678.08010766032,3404.04208158268,3297.75325262125,3597.57867295718,3650.53875455332,3721.41139898193,3665.14503352134,3581.81372220829,133572.058369591
,Totals Result,,174499406.204689,174011238.45066,174670364.002854,175018383.875453,175191450.0862,174631881.661065,174596500.435459,174574922.54196,175564024.120525,176399601.040697,178081139.212262,179407066.744207,180068990.425792,2286714968.80182
,,,,,,,,,,,,,,,,
,Жен,???,99649.5062981999,99771.6089934621,101208.039632287,104509.32064306,105827.550298774,107466.820370595,108768.709704179,92076.9333685826,93521.0303753154,93836.2017296068,94125.3361874784,94171.907568025,93653.5059899709,1288586.47115954
,,0-13,369393.173159405,366166.675359005,369425.662370421,372573.015444857,379498.767975839,377819.247339534,375011.239153269,373593.731085517,373223.672696843,373615.067021144,375330.711794092,375501.157040095,374534.851654931,4855686.97209495
,,0-14,167.605296077884,172.154471547703,176.407703510362,190.10468724863,206.671531746913,214.688282703815,226.352004566845,233.996594831212,246.050504139928,256.689900440025,276.908171026608,289.276270674561,297.62922047003,2954.53463898452
,,14-21,5466236.11253557,5528261.17548332,5543074.03931743,5528392.00190872,5514931.61904492,5510734.21713766,5524139.65581553,5546088.45982947,5590427.60527489,5686148.00365645,5813943.4471583,5928298.6713475,6097207.28593451,73277882.2944443
,,14-22,180184.592679978,185726.718090916,189232.543555566,191640.1481841,188069.628134147,184912.332310853,180366.039251942,177113.621362243,172811.897274515,169917.04636855,169311.032550296,169273.607383509,169669.181821053,2328228.38896767
,,22-29,10672000.2458717,10571811.8721868,10544605.830142,10497918.6312752,10463035.0485297,10382927.0629338,10335064.5899381,10285706.9288757,10282909.1828526,10274129.9423395,10322393.7987148,10336402.0828538,10335256.7854343,135304162.001948
,,22-30,996308.175660709,1004699.38157535,1020897.84136999,1031527.04347979,1013539.17802003,1000809.59259781,989727.790807313,990357.88623563,990976.412984347,990388.393026162,993914.263415575,997985.512937651,998142.84238321,13019274.3144936
,,30-39,18989984.1083296,18895045.0354192,18930038.7018208,18955230.1521235,19002660.2334014,18954346.5266321,18961879.8081205,18951773.7252396,19051031.00373,19141176.2753181,19321337.9592663,19437896.9818651,19481276.6412519,248073677.152518
,,30-40,1444631.57741113,1459917.00370819,1486328.98618334,1499007.6305179,1478088.41145413,1457308.44438702,1436539.3461447,1444208.08916326,1457839.04558808,1469713.02813761,1486752.20293902,1505757.87764182,1516391.55521889,19142483.1984951
,,40-54,21952545.6571481,21845725.5927632,21903888.8962503,21938393.850054,21984908.4501762,21929286.4414524,21944203.2794914,21921620.7185674,22068118.3006153,22203908.2840518,22440666.0173257,22606773.1547659,22670061.4478299,287410100.090492
,,40-55,1344317.58285945,1357658.71901459,1379544.99305593,1386685.00722893,1364150.83572872,1336307.49941903,1309573.39560886,1316438.68141042,1329373.01994432,1341210.56366051,1358871.90721565,1379711.24922338,1392548.47642745,17596391.9307972
,,55-59,9043618.38434903,8949333.96235388,8924132.01601676,8892882.30495994,8862762.72065793,8800445.12647895,8761773.58498272,8689652.49040693,8688651.87580058,8685603.03500105,8712931.71770081,8720885.15239925,8688808.59163901,114421480.962747
,,55-60,327671.320297681,327883.640822867,330524.823617995,329464.584095608,320247.06585288,309941.238392423,300364.729053663,299393.55620404,300828.043594134,300960.157473869,302785.166352915,305430.22120091,306427.609396338,4061922.15635532
