,Показатель,Пол,Возраст,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019
175,Дебетовые карты. Объем транзакций cash,Муж,55-60,6173353416.66886,6647906487.28596,6338932876.01285,7742507979.83043,5167549138.23266,5861255764.33908,6307935422.19314,6603294198.44863,6094568587.71924,6393739984.76535,7102861123.12815,7028794524.10645,6733262640.47754
176,Дебетовые карты. Объем транзакций cash,Муж,60-69,136798660244.613,147436894738.519,140987152498.629,177635116923.357,109944497426.75,130490583124.537,142541211397.226,152256908701.696,139889415750.353,148602501228.409,156015669283.374,154149881728.007,145832055186.894
177,Дебетовые карты. Объем транзакций cash,Муж,60-70,4300785856.23578,4645093533.40821,4459992248.98947,5425694867.04235,3648379255.77773,4166520091.3538,4484126677.54141,4780776237.18545,4387964906.48969,4699165742.72368,4952334970.76648,4906372356.19533,4844142847.75973
178,Дебетовые карты. Объем транзакций cash,Муж,От 70,30659150564.3516,34068580437.243,32890703552.5803,42149370009.8472,26364748461.506,32264868930.0544,35222431799.8757,38003619134.766,34172975351.5369,36809452507.265,39144637100.7692,38022432246.0796,36443304839.3582
206,Дебетовые карты. Объем транзакций pos,Жен,0-13,18339899.0135756,17486576.2334035,15937138.6096919,18391540.437531,11244341.8946856,13077294.762969,15096111.8227513,13812733.8255975,13768837.5461769,20881780.8400585,19567259.7483343,16229402.2998143,14895372.120457
207,Дебетовые карты. Объем транзакций pos,Жен,0-14,735.846038781193,,,1173.33488247846,630.926558270953,1021.65067803657,421.409399515268,5979.23349525049,,6429.1674205355,51910.3268765642,54344.4703050881,67824.2253256478
208,Дебетовые карты. Объем транзакций pos,Жен,14-21,32876957708.7787,36221656754.6628,35687883917.9633,40725102751.6589,33060568344.8168,33260143987.8669,38327134401.422,38720848223.2479,38510233409.8943,41281979726.8915,42024952595.1582,41774287167.4271,45566492139.9706
209,Дебетовые карты. Объем транзакций pos,Жен,14-22,812303107.716406,823955562.182182,818653824.691465,973299311.341015,774885715.487577,770081241.855585,846136524.227137,810388045.923572,829728455.595525,852652333.555021,919713699.332852,949745692.593437,958404553.176109
210,Дебетовые карты. Объем транзакций pos,Жен,22-29,112026728254.656,123222915885.98,120827338444.451,140459489705.95,114345638467.325,112735588057.278,126664005702.191,129920499914.858,129505435793.568,135516772640.78,143238492697.229,136169867998.101,135055362402.527
211,Дебетовые карты. Объем транзакций pos,Жен,22-30,6655320861.35442,6810474687.86395,6886386025.87278,7968064675.83389,6227710961.0265,6433229099.29528,7374408908.07718,7257233986.86818,7303312103.83878,7404369163.00964,7783126360.67197,7964835145.92996,7720538236.79889
212,Дебетовые карты. Объем транзакций pos,Жен,30-39,213011394123.569,234021831727.65,230435785758.715,270715992869.945,217927591245.173,216116443144.377,246125010804.171,253699571113.495,257669695969.939,267859618684.255,286019175858.717,282410489923.61,270866978299.485
213,Дебетовые карты. Объем транзакций pos,Жен,30-40,13127190789.4454,13688877352.7174,14049759960.6379,16097842194.9507,12853343054.7433,13109205516.356,15367046905.1119,15360387324.3395,15542071085.0415,15950991887.2131,17006208472.8894,17641813832.3585,16833647716.2769
214,Дебетовые карты. Объем транзакций pos,Жен,40-54,199658454408.475,221516220398.64,220113818725.145,261128452844.075,207301226250.311,205750741034.435,234812730930.438,241502527278.451,247105712517.007,260011475529.147,280625752395.907,270630721596.063,255669532003.189
215,Дебетовые карты. Объем транзакций pos,Жен,40-55,10337875868.1399,10732242571.166,11111734909.2892,12658038197.1089,10333759817.9201,10201896239.6592,11907171085.2516,11892827551.4541,12226067363.6402,12604365385.195,13565252317.2627,13950583518.1169,13518455993.8619
216,Дебетовые карты. Объем транзакций pos,Жен,55-59,58248889294.0871,64973848979.9165,64478343657.9518,76117808705.9459,58738828788.3345,59151577735.5236,67477014698.1583,69363276110.5038,69478600945.0223,71431202613.4724,75899569853.9855,72008649119.483,69796846958.6269
217,Дебетовые карты. Объем транзакций pos,Жен,55-60,1593158550.56881,1681365273.8071,1724707504.18303,1947468582.83997,1608221190.03776,1595955397.09442,1855314920.2362,1812745497.6681,1877217865.89518,1884778613.06096,2048613148.30485,2057337919.62905,2101026588.97886
218,Дебетовые карты. Объем транзакций pos,Жен,60-69,57474633265.6363,65235056203.1923,65353841284.1186,77436054974.6496,60026659097.6064,61881426060.7747,71271826407.4768,74197296059.2589,74057700737.9327,75923108432.8134,81313354428.293,78373874930.4489,77362940758.2634
219,Дебетовые карты. Объем транзакций pos,Жен,60-70,1216914868.16459,1251804175.142,1301205579.47073,1461609196.18218,1261442705.46482,1206014702.31763,1429787255.53051,1432543796.38787,1416887652.10244,1444165090.95481,1565657893.10177,1561542029.23492,1598329037.82145
220,Дебетовые карты. Объем транзакций pos,Жен,От 70,12900400848.3462,14925494699.192,15005180256.2242,17593176833.1112,14093073845.7461,14696061826.9443,17139257559.0337,18169402435.8014,17925151018.9577,18103079023.429,19532795827.3972,19151909655.9113,19338368472.1167
224,Дебетовые карты. Объем транзакций pos,Муж,0-13,41528045.6171674,45740543.0493504,43325021.4464592,50960104.8745801,34568621.8366331,32913174.5514656,41819149.2904677,36952172.5335609,38408162.7113501,42736053.9106267,37206897.0564832,36554061.8360987,42290599.634268
225,Дебетовые карты. Объем транзакций pos,Муж,0-14,164411.43193781,289776.072846687,207895.724273241,335305.845368425,367853.396391269,174436.109842112,195234.78996597,136492.455407068,109907.192478486,500528.734952859,581182.94852187,398986.635652617,158048.472061097
226,Дебетовые карты. Объем транзакций pos,Муж,14-21,32945250315.7718,37229634134.6766,36363957084.9931,40706800213.2946,35236188127.0833,34044246302.5065,39150743538.9604,39985693783.8541,40020929032.3478,42279350747.6086,43390036030.9487,43294467062.5834,47528071932.5667
227,Дебетовые карты. Объем транзакций pos,Муж,14-22,913894500.969317,932915014.650254,957546991.886562,1106119511.90118,879463475.178141,895305868.554888,1029079824.84887,974739652.606357,958746201.863462,984400457.329668,1014357501.47424,1088644010.22756,1081491957.04394
228,Дебетовые карты. Объем транзакций pos,Муж,22-29,129053023221.626,142982630725.915,137923549306.382,157633151276.975,135401687263.247,126570623263.104,143574232529.87,147243449032.42,148795915455.337,154835925655.951,165009743229.167,157221476420.768,157731890772.643
